Loss_Sigmoid,1.252,0.652,0.449,0.34,0.304,0.286,0.277,0.273,0.275,0.016
Accuracy_Sigmoid,0.394,0.698,0.787,0.838,0.85,0.856,0.859,0.86,0.859,0.996
Val_Loss_Sigmoid,0.951,0.546,0.443,0.433,0.428,0.435,0.438,0.443,0.459,0.139
Val_Accuracy_Sigmoid,0.514,0.742,0.798,0.8,0.803,0.803,0.804,0.803,0.801,0.957
Loss_Relu,0.963,0.419,0.313,0.242,0.206,0.176,0.154,0.138,0.125,0.225
Accuracy_Relu,0.682,0.823,0.887,0.913,0.926,0.937,0.945,0.949,0.953,0.884
Val_Loss_Relu,0.262,0.226,0.19,0.164,0.165,0.159,0.173,0.163,0.173,0.136
Val_Accuracy_Relu,0.893,0.923,0.946,0.952,0.953,0.956,0.954,0.957,0.957,0.948
Loss_Selu,1.184,0.233,0.121,0.07,0.045,0.032,0.028,0.027,0.021,0.01
Accuracy_Selu,0.739,0.915,0.956,0.976,0.985,0.989,0.99,0.991,0.993,0.997
Val_Loss_Selu,0.173,0.155,0.138,0.135,0.163,0.182,0.173,0.191,0.194,0.174
Val_Accuracy_Selu,0.94,0.945,0.954,0.956,0.952,0.951,0.957,0.953,0.956,0.959
Loss_Gelu,1.341,0.878,0.81,0.766,0.737,0.718,0.702,0.689,0.678,0.106
Accuracy_Gelu,0.478,0.568,0.596,0.613,0.633,0.645,0.653,0.661,0.665,0.957
Val_Loss_Gelu,0.816,0.81,0.797,0.796,0.805,0.801,0.79,0.794,0.789,0.157
Val_Accuracy_Gelu,0.6,0.617,0.626,0.628,0.629,0.633,0.639,0.641,0.644,0.959
Loss_Tanh,1.59,1.215,1.163,1.143,1.145,1.149,1.138,1.155,1.168,1.321
Accuracy_Tanh,0.329,0.38,0.393,0.394,0.393,0.39,0.393,0.385,0.381,0.306
Val_Loss_Tanh,1.326,1.287,1.287,1.289,1.355,1.353,1.321,1.424,1.409,1.67
Val_Accuracy_Tanh,0.343,0.389,0.395,0.384,0.34,0.347,0.347,0.301,0.296,0.175
Loss_Linear,3.101,0.354,0.18,0.136,0.124,0.187,0.168,0.101,0.108,0.053
Accuracy_Linear,0.798,0.907,0.945,0.959,0.963,0.954,0.961,0.972,0.973,0.984
Val_Loss_Linear,0.351,0.343,0.297,0.334,0.408,0.408,0.394,0.363,0.369,0.325
Val_Accuracy_Linear,0.916,0.92,0.929,0.929,0.922,0.928,0.932,0.935,0.932,0.943
Loss_Hard_Sigmoid,1.441,1.341,1.331,1.326,1.322,1.32,1.32,1.32,1.319,1.319
Accuracy_Hard_Sigmoid,0.302,0.302,0.302,0.302,0.308,0.308,0.307,0.305,0.307,0.309
Val_Loss_Hard_Sigmoid,1.698,1.694,1.702,1.705,1.69,1.691,1.697,1.69,1.692,1.69
Val_Accuracy_Hard_Sigmoid,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175
